id,ronda,local_id,local_nombre,visitante_id,visitante_nombre,fecha
14062138,14,2547,1. FC Union Berlin,36360,RB Leipzig,1765567800
14062146,14,2527,Borussia M'gladbach,2524,VfL Wolfsburg,1765636200
14065176,14,2674,Eintracht Frankfurt,2600,FC Augsburg,1765636200
14062155,14,2526,FC St. Pauli,5885,1. FC Heidenheim,1765636200
14062139,14,2569,TSG Hoffenheim,2676,Hamburger SV,1765636200
14065175,14,2681,Bayer 04 Leverkusen,2671,1. FC Köln,1765647000
14065177,14,2538,SC Freiburg,2673,Borussia Dortmund,1765722600
14065174,14,2672,FC Bayern München,2556,1. FSV Mainz 05,1765729800
14062137,14,2534,SV Werder Bremen,2677,VfB Stuttgart,1765737000
14062163,15,2673,Borussia Dortmund,2527,Borussia M'gladbach,1766172600
14062142,15,2671,1. FC Köln,2547,1. FC Union Berlin,1766241000
14062151,15,2600,FC Augsburg,2534,SV Werder Bremen,1766241000
14062140,15,2676,Hamburger SV,2674,Eintracht Frankfurt,1766241000
14062160,15,2677,VfB Stuttgart,2569,TSG Hoffenheim,1766241000
14062162,15,2524,VfL Wolfsburg,2538,SC Freiburg,1766241000
14062143,15,36360,RB Leipzig,2681,Bayer 04 Leverkusen,1766251800
14062159,15,2556,1. FSV Mainz 05,2526,FC St. Pauli,1766327400
14062150,15,5885,1. FC Heidenheim,2672,FC Bayern München,1766334600
14062141,16,2674,Eintracht Frankfurt,2673,Borussia Dortmund,1767987000
14062157,16,5885,1. FC Heidenheim,2671,1. FC Köln,1768055400
14062152,16,2547,1. FC Union Berlin,2556,1. FSV Mainz 05,1768055400
14062153,16,2526,FC St. Pauli,36360,RB Leipzig,1768055400
14062148,16,2538,SC Freiburg,2676,Hamburger SV,1768055400
14062144,16,2534,SV Werder Bremen,2569,TSG Hoffenheim,1768055400
14062147,16,2681,Bayer 04 Leverkusen,2677,VfB Stuttgart,1768066200
14062158,16,2527,Borussia M'gladbach,2600,FC Augsburg,1768141800
14062145,16,2672,FC Bayern München,2524,VfL Wolfsburg,1768149000
14062161,17,2677,VfB Stuttgart,2674,Eintracht Frankfurt,1768325400
14062156,17,2556,1. FSV Mainz 05,5885,1. FC Heidenheim,1768332600
14062154,17,2673,Borussia Dortmund,2534,SV Werder Bremen,1768332600
14062169,17,2676,Hamburger SV,2681,Bayer 04 Leverkusen,1768332600
