Equipo,puntos,partidos_jugados,goles_favor,goles_contra,home_puntos,home_goles_favor,home_goles_contra,away_puntos,away_goles_favor,away_goles_contra,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,ID_Equipo,nombre,home_partidos_jugados,away_partidos_jugados,statisticsType.sportSlug,statisticsType.statisticsType
FC Bayern München,37,13,49,9,21,29,4,16,20,5,49,9,0,38,249,5,5,0,5,43,5,169,80,5,15,28,60,47,27,107,74,68,105,236,74,9,27,7,20,66.230769230769,9129,8226,90.108445612882,3286,3065,93.27449786975,5975,5144,86.092050209205,441,291,65.986394557823,198,43,21.717171717172,7,153,103,15,4,10,1,0,221,1,3,1044,492,47.126436781609,798,372,46.616541353383,246,120,48.780487804878,1539,30,129,31,0,0,7.142,604,1261,2286,3554,8,4,5,367,54,33,149,151,84,7,10,3,135,87,262,648,24,2,118,40,77,41,54,24,40,228,994,2011,2609,4520,17,261,70,661,116,2672,13,0,2672,FC Bayern München,7,6,football,team
RB Leipzig,29,13,28,13,18,18,3,11,10,10,28,13,0,20,217,1,2,1,9,22,5,141,76,2,12,13,44,32,26,76,80,61,142,270,80,7,21,3,18,49.615384615385,6151,5187,84.327751585108,3179,2869,90.24850581944,3085,2298,74.489465153971,444,215,48.423423423423,195,53,27.179487179487,7,209,132,30,2,8,0,0,387,2,5,1247,641,51.4033680834,916,486,53.056768558952,331,155,46.827794561934,1633,21,123,21,0,0,7.0137566137566,1166,2486,2708,5192,26,25,18,309,58,46,234,178,87,5,3,6,110,132,317,660,32,0,173,59,109,64,69,45,59,227,1688,3464,2948,6228,27,221,111,650,139,36360,13,0,36360,RB Leipzig,6,7,football,team
Borussia Dortmund,28,13,23,11,14,11,4,14,12,7,23,11,0,19,159,1,2,0,2,22,1,109,50,4,8,11,30,24,15,58,59,42,91,208,72,1,14,3,11,53.0,6505,5509,84.688700999231,2735,2500,91.407678244973,3941,3009,76.351179903578,459,231,50.326797385621,242,56,23.140495867769,7,183,99,31,1,9,1,1,326,0,4,1173,579,49.360613810742,835,399,47.784431137725,338,180,53.254437869822,1695,17,151,21,0,1,6.9463157894737,942,1980,2690,4680,21,17,15,354,64,57,218,161,71,1,5,6,131,114,327,745,28,2,138,34,94,44,64,40,34,221,1370,2837,3001,5703,23,248,89,650,130,2673,13,0,2673,Borussia Dortmund,6,7,football,team
Bayer 04 Leverkusen,23,13,28,19,13,16,6,10,12,13,28,19,1,18,185,3,3,2,10,24,4,117,68,4,12,12,47,33,25,62,72,51,95,204,63,9,21,4,18,59.692307692308,8109,7224,89.086200517943,3940,3673,93.223350253807,4276,3528,82.507015902713,446,261,58.520179372197,192,43,22.395833333333,3,177,86,40,3,9,2,2,269,1,3,1091,589,53.987167736022,785,416,52.993630573248,306,173,56.535947712418,1470,14,112,30,2,2,6.9227722772277,1121,2120,2201,4320,28,21,16,282,69,59,215,130,55,6,6,6,111,127,265,606,13,2,153,30,98,55,64,59,30,208,1558,2942,2455,5248,38,204,96,603,148,2681,13,0,2681,Bayer 04 Leverkusen,7,6,football,team
TSG Hoffenheim,23,13,25,19,9,11,10,14,14,9,25,19,0,18,176,2,2,1,5,19,4,127,49,3,4,16,35,29,19,61,68,47,75,160,71,4,21,5,17,53.538461538462,6029,4838,80.245480179134,2856,2582,90.406162464986,3351,2272,67.800656520442,528,245,46.401515151515,243,69,28.395061728395,2,205,105,38,2,2,2,2,424,2,1,1344,654,48.660714285714,848,397,46.816037735849,496,257,51.814516129032,1866,24,190,26,0,0,6.810243902439,935,1844,2219,4090,30,21,16,413,74,45,259,200,100,2,4,5,126,114,363,826,22,2,160,50,106,54,53,57,50,182,1408,2866,2551,5245,15,274,79,685,120,2569,13,0,2569,TSG Hoffenheim,6,7,football,team
VfB Stuttgart,22,13,21,22,15,9,8,7,12,14,21,22,1,17,199,2,3,0,3,19,2,126,73,3,4,14,27,21,15,67,74,58,75,153,72,3,11,0,11,58.0,6862,5834,85.018944914019,2890,2653,91.799307958478,4162,3190,76.645843344546,385,174,45.194805194805,256,65,25.390625,4,177,121,41,3,3,4,4,344,2,4,1189,626,52.649285113541,776,402,51.80412371134,413,224,54.237288135593,1681,33,137,26,0,1,6.8107142857143,881,1702,2138,3836,33,21,18,353,62,48,207,146,63,1,6,3,120,114,324,788,29,2,165,43,127,38,59,63,43,184,1362,2670,2445,4959,24,235,74,641,154,2677,13,0,2677,VfB Stuttgart,6,7,football,team
Eintracht Frankfurt,21,13,28,29,10,11,9,11,17,20,28,29,0,21,168,2,2,0,4,25,3,110,58,5,11,12,38,30,19,59,59,50,85,185,66,7,12,2,10,55.230769230769,6642,5549,83.54411321891,3219,2926,90.89779434607,3577,2611,72.994129158513,468,227,48.504273504274,229,57,24.890829694323,2,227,114,29,7,4,2,2,333,1,3,1250,618,49.44,843,429,50.889679715302,407,189,46.437346437346,1776,17,131,21,0,0,6.7495145631068,1005,2134,2292,4403,38,32,19,418,36,62,181,193,73,4,3,4,111,114,325,728,41,2,149,28,99,50,62,59,28,218,1513,3037,2575,5480,26,276,96,624,119,2674,13,0,2674,Eintracht Frankfurt,6,7,football,team
1. FC Köln,16,13,22,21,8,14,10,8,8,11,22,21,0,15,170,1,1,1,7,20,2,112,58,3,4,15,38,30,23,61,67,42,63,138,52,5,15,4,13,47.769230769231,5626,4646,82.580874511198,2774,2534,91.348233597693,2994,2108,70.407481629927,410,189,46.09756097561,218,61,27.981651376147,2,169,108,40,2,3,4,3,397,0,2,1150,593,51.565217391304,718,364,50.696378830084,432,229,53.009259259259,1600,25,120,23,0,0,6.8408653846154,1209,2470,2620,5047,32,23,19,340,83,82,283,158,76,4,3,1,87,146,322,660,27,4,183,57,126,57,65,61,57,168,1724,3420,2830,6023,21,257,117,538,137,2671,13,0,2671,1. FC Köln,6,7,football,team
SC Freiburg,16,13,20,22,11,13,8,5,7,14,20,22,0,11,160,3,3,1,5,17,2,110,50,2,3,14,29,23,17,49,66,45,79,171,61,3,11,0,11,51.076923076923,5684,4684,82.406755805771,2780,2533,91.115107913669,3073,2155,70.126911812561,408,203,49.754901960784,248,63,25.403225806452,4,185,113,28,7,6,1,0,307,0,1,1244,659,52.974276527331,765,427,55.816993464052,479,232,48.434237995825,1682,27,115,17,1,2,6.7544117647059,1056,2301,2341,4619,29,25,15,457,47,54,187,144,55,3,4,0,112,117,281,660,20,1,159,49,101,58,60,50,49,182,1521,3187,2588,5636,34,271,79,538,164,2538,13,0,2538,SC Freiburg,6,7,football,team
Borussia M'gladbach,16,13,17,19,6,7,14,10,10,5,17,19,0,12,154,2,4,0,2,16,0,104,50,4,4,8,26,17,13,59,58,37,60,149,64,6,15,4,12,45.615384615385,5616,4679,83.315527065527,2890,2599,89.930795847751,2893,2107,72.830971310059,418,196,46.88995215311,214,62,28.971962616822,6,245,105,42,0,2,2,2,451,1,1,1223,635,51.921504497138,839,435,51.847437425507,384,200,52.083333333333,1554,27,144,19,0,1,6.8410891089109,1574,3131,2828,5976,24,21,12,301,72,56,255,197,81,3,2,6,94,151,266,592,27,0,191,55,119,72,72,64,55,186,2083,4048,3037,6919,33,216,97,598,130,2527,13,0,2527,Borussia M'gladbach,7,6,football,team
