Equipo,puntos,partidos_jugados,goles_favor,goles_contra,home_puntos,home_goles_favor,home_goles_contra,away_puntos,away_goles_favor,away_goles_contra,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,ID_Equipo,nombre,home_partidos_jugados,away_partidos_jugados,statisticsType.sportSlug,statisticsType.statisticsType
Barcelona,40,16,47,20,24,26,5,16,21,15,47,20,0,36,315,3,5,0,11,40,6,198,117,6,15,25,66,51,35,124,106,85,182,359,104,13,15,3,12,66.9375,10120,9028,89.209486166008,4052,3772,93.089832181639,6228,5280,84.778420038536,432,227,52.546296296296,208,56,26.923076923077,4,269,104,37,1,5,4,3,276,0,1,1504,820,54.521276595745,1195,636,53.221757322176,309,184,59.546925566343,1874,35,153,26,2,2,7.0387755102041,828,1535,2159,3687,41,34,26,363,76,50,201,220,97,9,11,4,134,122,362,862,80,4,150,37,122,28,57,56,37,316,1323,2462,2473,4807,44,278,73,746,188,2817,16,0,2817,Barcelona,8,8,football,team
Real Madrid,36,16,32,15,18,14,5,18,18,10,32,15,0,25,318,5,7,0,9,26,6,192,126,2,5,25,58,42,37,114,122,82,170,357,101,6,23,5,18,59.75,9367,8375,89.40962955055,3295,3082,93.535660091047,6220,5298,85.176848874598,556,336,60.431654676259,260,65,25.0,7,281,119,35,2,7,2,2,281,3,5,1504,837,55.651595744681,1188,658,55.387205387205,316,179,56.645569620253,1784,29,153,29,1,5,7.059670781893,1155,2433,2712,5134,32,28,23,394,50,54,217,238,100,6,12,4,139,131,310,753,13,6,161,49,95,66,59,53,49,296,1601,3284,3064,6196,33,268,107,777,208,2829,16,0,2829,Real Madrid,7,9,football,team
Villarreal,35,15,31,13,22,20,4,13,11,9,31,13,0,21,199,1,1,0,2,23,8,135,64,3,12,15,43,33,26,76,78,45,123,252,67,4,31,6,26,46.8,6552,5551,84.722222222222,3147,2847,90.467111534795,3570,2729,76.442577030812,519,264,50.867052023121,213,61,28.638497652582,7,267,134,37,4,15,3,2,362,0,3,1396,698,50.0,1083,552,50.969529085873,313,146,46.645367412141,1745,34,189,37,1,1,6.944769874477,1524,3234,3282,6531,24,20,18,338,57,58,270,271,110,5,6,1,116,128,380,741,10,3,183,64,109,74,70,49,64,250,2076,4250,3527,7589,26,268,103,707,163,2819,15,0,2819,Villarreal,8,7,football,team
Atlético Madrid,31,16,28,15,22,20,6,9,8,9,28,15,0,16,210,2,3,2,5,21,4,143,67,3,11,11,54,42,36,90,82,38,122,261,114,6,21,5,18,54.1875,8167,6992,85.612832129301,3845,3500,91.027308192458,4519,3463,76.631998229697,584,334,57.191780821918,342,88,25.730994152047,6,253,127,30,2,8,2,1,307,0,1,1552,761,49.033505154639,1095,533,48.675799086758,457,228,49.890590809628,2009,35,178,29,1,2,6.872619047619,1480,3143,2678,5842,30,23,18,423,54,63,269,274,144,3,3,3,127,129,378,795,19,0,165,35,97,68,85,45,35,257,2038,4206,2963,7005,38,319,137,758,160,2836,16,0,2836,Atlético Madrid,8,8,football,team
Espanyol,27,15,19,16,19,13,10,8,6,6,19,16,1,14,198,3,4,0,6,17,2,126,72,7,4,8,36,28,24,67,82,49,92,188,65,3,16,2,14,41.0,5265,4224,80.22792022792,2459,2236,90.931272875153,3061,2003,65.436131983012,473,206,43.551797040169,345,85,24.63768115942,6,234,125,49,2,3,1,1,336,1,3,1500,700,46.666666666667,1023,488,47.702834799609,477,212,44.444444444444,1835,19,205,29,1,2,6.8253164556962,1414,3093,3606,6685,27,17,19,394,68,65,262,248,131,3,7,8,100,148,419,810,18,2,196,63,124,72,69,64,63,225,1896,4045,3920,7771,39,307,99,668,168,2814,15,0,2814,Espanyol,9,6,football,team
Real Betis,24,15,25,19,13,14,11,11,11,8,25,19,1,19,223,1,1,0,6,19,5,139,84,5,7,12,34,28,18,71,87,65,106,209,74,7,23,2,21,50.333333333333,7161,6063,84.666945957269,3247,2992,92.146596858639,4105,3099,75.493300852619,552,285,51.630434782609,251,61,24.302788844622,4,264,133,40,4,4,2,1,436,1,3,1479,764,51.656524678837,1092,566,51.831501831502,387,198,51.162790697674,1844,25,155,34,0,1,6.8831111111111,1216,2615,3266,5854,31,26,22,358,82,58,265,271,146,5,9,1,127,129,302,660,45,1,171,38,109,62,75,58,38,241,1741,3593,3568,6949,38,259,109,746,199,2816,15,0,2816,Real Betis,8,7,football,team
Athletic Club,23,16,15,20,16,9,9,7,6,11,15,20,1,7,207,3,3,0,1,12,2,143,64,1,3,10,33,23,23,64,83,60,124,268,86,4,9,1,8,48.1875,6533,5277,80.77452931272,2827,2532,89.564909798373,3956,2749,69.489383215369,521,276,52.975047984645,351,74,21.082621082621,5,242,135,45,2,12,0,0,381,0,2,1653,782,47.307924984876,1177,549,46.644010195412,476,233,48.949579831933,2252,19,213,28,0,4,6.7334661354582,1020,2240,3624,5855,32,27,19,451,74,57,241,267,136,1,10,4,159,100,388,917,64,1,156,36,100,56,57,63,36,291,1601,3353,4065,7244,34,338,89,808,190,2825,16,0,2825,Athletic Club,9,7,football,team
Getafe,20,15,13,17,11,7,5,9,6,12,13,17,2,12,138,0,0,0,4,11,2,73,65,4,4,5,22,18,10,40,55,43,87,200,72,3,5,1,4,40.2,4392,3055,69.558287795993,1554,1315,84.620334620335,3026,1707,56.41110376735,585,225,38.461538461538,297,67,22.558922558923,4,277,118,52,1,6,1,1,406,1,5,1702,811,47.64982373678,1152,572,49.652777777778,550,239,43.454545454545,2193,35,227,37,1,3,6.6925581395349,1202,2678,2885,5556,28,20,16,485,64,62,230,278,131,2,5,4,91,118,377,880,41,2,155,36,97,58,54,65,36,240,1789,3745,3319,6901,32,370,101,683,212,2859,15,0,2859,Getafe,7,8,football,team
Elche,19,15,18,17,16,12,5,3,6,12,18,17,0,13,167,0,1,1,3,15,3,111,56,0,7,11,28,21,16,62,57,48,123,238,47,5,11,3,8,58.933333333333,8007,6975,87.111277632072,3813,3513,92.13217938631,4365,3468,79.450171821306,435,223,51.264367816092,232,56,24.137931034483,4,248,125,44,2,10,2,2,323,0,4,1453,738,50.791465932553,1119,591,52.815013404826,334,147,44.011976047904,1783,26,195,26,1,2,6.8472573839662,1239,2429,2035,4454,33,27,21,326,66,74,258,214,88,2,5,2,109,145,304,682,26,0,190,53,123,67,75,62,53,258,1769,3383,2271,5464,33,243,107,729,223,2846,15,0,2846,Elche,8,7,football,team
Celta Vigo,19,15,18,19,5,7,12,14,11,7,18,19,1,13,164,2,2,0,3,14,4,99,65,1,6,11,28,23,16,58,63,43,91,217,65,0,13,2,11,50.866666666667,7635,6573,86.090373280943,3685,3363,91.261872455902,4117,3218,78.163711440369,563,298,52.930728241563,199,39,19.597989949749,2,247,121,52,3,13,5,2,368,1,4,1260,625,49.603174603175,986,497,50.405679513185,274,128,46.715328467153,1715,28,182,28,1,1,6.8117647058824,1668,3289,2963,6251,39,28,29,276,72,61,277,226,99,1,10,6,143,133,340,749,29,6,189,45,121,68,73,71,45,222,2193,4261,3203,7269,38,282,118,668,165,2821,15,0,2821,Celta Vigo,8,7,football,team
