Equipo,puntos,partidos_jugados,goles_favor,goles_contra,home_puntos,home_goles_favor,home_goles_contra,away_puntos,away_goles_favor,away_goles_contra,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,ID_Equipo,nombre,home_partidos_jugados,away_partidos_jugados,statisticsType.sportSlug,statisticsType.statisticsType
RC Lens,34,15,26,13,18,14,4,16,12,9,26,13,0,18,208,3,4,0,3,24,1,155,53,6,12,7,59,43,41,78,81,49,111,234,94,5,24,4,20,48.266666666667,6715,5660,84.288905435592,3313,2993,90.341080591609,3617,2680,74.094553497374,484,265,54.752066115702,311,84,27.009646302251,4,293,156,42,1,4,5,2,331,1,4,1507,759,50.36496350365,1127,571,50.665483584738,380,188,49.473684210526,1840,33,193,30,1,3,6.9490990990991,1279,2865,3407,6250,35,21,27,322,68,64,250,284,123,4,9,6,122,141,314,673,17,4,195,66,128,67,73,56,66,257,1797,3845,3737,7386,35,248,98,793,170,1648,15,0,1648,RC Lens,7,8,football,team
Paris Saint-Germain,33,15,32,12,19,17,3,14,15,9,32,12,1,22,269,3,4,1,11,25,7,157,112,4,7,21,50,40,29,101,103,65,130,315,96,7,11,1,10,70.4,11153,10220,91.634537792522,4621,4375,94.67647695304,6703,5864,87.483216470237,533,350,65.666041275797,222,59,26.576576576577,8,219,91,29,3,6,2,0,197,2,4,1240,584,47.096774193548,1017,475,46.705998033432,223,109,48.878923766816,1683,14,153,18,0,0,7.0008733624454,709,1417,2127,3547,23,16,18,316,46,36,147,204,84,3,11,6,168,98,318,654,26,3,130,34,80,50,54,42,34,313,1077,2170,2467,4539,24,263,69,751,129,1644,15,0,1644,Paris Saint-Germain,7,8,football,team
Olympique de Marseille,29,15,35,15,17,23,8,12,12,7,35,15,1,24,211,4,5,1,6,27,7,133,78,3,7,24,47,35,26,85,76,50,91,197,84,8,17,2,15,60.0,8933,8037,89.969774991604,3965,3754,94.678436317781,5148,4280,83.139083139083,428,238,55.607476635514,251,55,21.91235059761,5,208,110,41,2,8,1,1,257,1,3,1188,591,49.747474747475,886,439,49.548532731377,302,152,50.331125827815,1537,18,178,32,0,2,6.9318777292576,819,1863,3024,4891,34,26,25,355,50,35,185,194,91,5,8,3,107,100,280,618,31,4,134,33,88,46,45,56,33,187,1221,2632,3321,5812,22,222,81,685,145,1641,15,0,1641,Olympique de Marseille,7,8,football,team
Lille,29,15,29,17,19,16,6,10,13,11,29,17,0,21,226,3,4,0,2,27,2,158,68,3,13,13,50,34,29,75,77,74,109,222,96,7,14,1,14,56.2,7394,6271,84.812009737625,3345,3109,92.944693572496,4271,3162,74.034184031843,484,286,59.090909090909,301,74,24.584717607973,5,221,130,34,3,11,2,1,295,1,6,1363,702,51.504035216434,995,506,50.854271356784,368,196,53.260869565217,1852,21,196,34,0,2,6.9008620689655,890,1879,2837,4736,34,22,20,390,60,46,232,221,94,8,3,5,152,94,324,738,21,1,139,35,87,52,53,51,35,216,1318,2752,3214,5815,31,259,91,743,183,1643,15,0,1643,Lille,8,7,football,team
Olympique Lyonnais,24,15,21,16,15,13,6,9,8,10,21,16,2,15,184,0,2,0,4,19,1,124,60,4,5,11,38,26,24,69,64,51,76,163,98,5,12,1,11,55.666666666667,7009,6034,86.089313739478,3755,3473,92.490013315579,3336,2445,73.291366906475,488,264,54.098360655738,322,74,22.981366459627,8,211,114,35,1,9,1,0,320,2,3,1321,648,49.053747161241,961,481,50.052029136316,360,167,46.388888888889,1677,22,219,30,2,5,6.8366666666667,1018,2044,2656,4731,33,24,23,340,68,61,248,205,94,0,4,4,128,130,339,686,27,4,172,56,114,58,65,51,56,183,1453,2911,2921,5704,35,251,96,627,198,1649,15,0,1649,Olympique Lyonnais,7,8,football,team
Stade Rennais,24,15,24,23,14,15,7,10,9,16,24,23,0,18,189,2,2,0,3,22,1,114,75,5,7,11,33,27,13,68,63,58,97,215,80,6,16,1,15,49.666666666667,6815,5787,84.915627292737,3326,3019,90.769693325316,3685,2770,75.16960651289,431,207,48.027842227378,258,54,20.93023255814,4,234,129,40,5,7,4,3,320,0,4,1284,655,51.01246105919,994,498,50.10060362173,290,157,54.137931034483,1764,31,167,27,1,4,6.7927601809955,1270,2624,3335,5949,48,36,31,310,74,67,272,211,98,4,9,7,139,167,320,668,32,3,222,67,145,77,92,63,67,238,1762,3549,3627,6973,32,269,125,724,173,1658,15,0,1658,Stade Rennais,7,8,football,team
AS Monaco,23,15,26,26,16,16,12,7,10,14,26,26,1,18,188,4,5,0,3,24,0,142,46,5,8,11,50,35,28,60,76,52,85,209,65,5,15,2,14,54.533333333333,7342,6179,84.159629528739,3357,3059,91.123026511766,4169,3129,75.053969776925,509,251,49.312377210216,253,64,25.296442687747,2,258,163,37,3,10,5,4,323,2,3,1450,713,49.172413793103,1075,507,47.162790697674,375,206,54.933333333333,1949,35,196,38,1,4,6.7755364806867,1064,2166,2803,4962,36,24,19,325,68,50,228,249,129,3,12,7,160,153,348,775,11,4,203,64,131,72,75,64,64,254,1519,3114,3211,6148,25,308,107,771,168,1653,15,0,1653,AS Monaco,8,7,football,team
RC Strasbourg,22,15,25,20,15,14,4,7,11,16,25,20,1,19,166,2,2,0,9,25,0,119,47,5,4,16,44,36,22,65,62,39,125,275,49,2,9,2,8,52.133333333333,7766,6803,87.599793973732,4577,4318,94.341271575268,3346,2493,74.506873879259,333,171,51.351351351351,227,58,25.550660792952,6,248,105,39,3,10,3,2,308,0,1,1417,732,51.658433309809,1127,578,51.286601597161,290,154,53.103448275862,1724,25,180,32,1,4,6.8195652173913,1104,2397,3563,5954,30,19,14,283,56,54,248,238,108,5,5,3,125,118,332,701,24,2,152,37,101,51,57,58,37,277,1505,3284,3913,7003,30,237,105,736,207,1659,15,0,1659,RC Strasbourg,7,8,football,team
Toulouse,20,15,21,19,12,14,11,8,7,8,21,19,0,10,188,4,6,0,3,19,1,139,49,4,7,9,25,12,11,58,80,50,125,270,70,7,14,1,13,41.266666666667,5196,4176,80.369515011547,2483,2262,91.099476439791,2910,1926,66.185567010309,421,206,48.931116389549,254,63,24.803149606299,5,238,134,27,1,7,4,4,373,1,1,1544,770,49.870466321244,1083,521,48.107109879963,461,249,54.013015184382,1796,15,216,37,0,1,6.7921397379913,1111,2625,4093,6726,28,20,14,359,78,58,255,222,94,1,10,5,133,127,316,723,17,2,168,56,104,64,65,47,56,275,1543,3569,4406,7805,27,248,99,682,166,1681,15,0,1681,Toulouse,8,7,football,team
Stade Brestois,19,15,20,24,12,12,11,7,8,13,20,24,1,12,181,5,7,0,3,17,2,115,66,2,10,7,30,20,16,58,74,49,86,191,63,4,7,1,6,44.2,5774,4580,79.321094561829,2987,2686,89.922999665216,2978,1916,64.338482202821,634,341,53.785488958991,241,64,26.55601659751,4,273,128,44,5,2,2,2,329,0,2,1468,751,51.158038147139,1006,505,50.198807157058,462,246,53.246753246753,1911,16,193,25,0,2,6.7529680365297,1402,2984,3429,6399,38,28,21,405,77,75,293,270,131,1,3,4,122,136,314,664,26,2,188,48,131,57,73,67,48,203,1896,3933,3737,7452,22,276,112,702,153,1715,15,0,1715,Stade Brestois,8,7,football,team
Angers,19,15,13,17,11,8,6,8,5,11,13,17,0,6,128,1,1,0,2,12,0,78,50,2,4,6,26,20,18,48,43,37,81,221,52,3,21,1,21,40.666666666667,5928,4868,82.118758434548,3566,3181,89.203589455973,2508,1685,67.185007974482,425,201,47.294117647059,206,45,21.844660194175,5,281,147,63,3,8,4,1,364,0,4,1375,677,49.236363636364,1030,518,50.291262135922,345,159,46.086956521739,1824,28,169,21,0,1,6.7562770562771,1813,3838,3907,7760,39,29,26,246,88,79,301,241,103,3,7,10,135,163,371,669,18,1,230,50,145,85,99,81,50,263,2395,4925,4112,8843,18,233,139,770,159,1684,15,0,1684,Angers,7,8,football,team
Nice,17,15,19,27,13,11,11,4,8,16,19,27,0,15,170,2,2,0,4,16,1,106,64,2,6,9,35,29,25,59,65,46,109,221,74,3,14,2,13,47.266666666667,6340,5317,83.864353312303,3235,2953,91.2828438949,3285,2357,71.750380517504,402,183,45.522388059701,271,71,26.19926199262,2,209,126,58,2,10,5,4,412,0,2,1380,687,49.782608695652,996,489,49.096385542169,384,198,51.5625,1763,23,186,32,1,2,6.7357446808511,1613,3072,3034,6078,44,33,24,315,88,81,342,190,100,0,6,4,115,179,392,749,12,1,237,73,139,98,79,85,73,235,2101,4095,3294,7113,28,234,105,736,172,1661,15,0,1661,Nice,8,7,football,team
