Equipo,puntos,partidos_jugados,goles_favor,goles_contra,home_puntos,home_goles_favor,home_goles_contra,away_puntos,away_goles_favor,away_goles_contra,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,ID_Equipo,nombre,home_partidos_jugados,away_partidos_jugados,statisticsType.sportSlug,statisticsType.statisticsType
Arsenal,33,15,28,9,19,18,2,14,10,7,28,9,0,21,217,2,2,0,5,26,2,162,55,9,4,15,44,31,28,80,80,57,108,230,89,5,13,2,11,58.8,7390,6301,85.263870094723,3301,3084,93.426234474402,4282,3212,75.011676786548,430,198,46.046511627907,276,66,23.913043478261,8,246,101,25,1,6,0,0,338,0,3,1445,749,51.833910034602,970,508,52.371134020619,475,241,50.736842105263,1876,23,154,20,0,0,6.9739910313901,805,1753,2330,4102,15,11,10,509,49,27,170,188,83,4,14,4,115,93,332,806,11,1,116,42,82,34,40,34,42,239,1276,2667,2626,5182,21,268,76,686,160,42,15,0,42,Arsenal,7,8,football,team
Manchester City,31,15,35,16,21,22,6,10,13,10,35,16,0,28,216,0,1,0,4,27,5,160,56,5,17,10,49,44,32,80,75,61,154,305,87,5,26,6,21,57.133333333333,8218,7217,87.819420783646,3473,3168,91.217967175353,4873,4033,82.762158834394,399,202,50.62656641604,226,69,30.530973451327,6,200,113,32,3,11,2,1,372,2,4,1378,718,52.104499274311,1023,517,50.537634408602,355,201,56.619718309859,1751,15,144,27,0,0,6.9860986547085,1028,2134,2876,5044,27,14,18,319,66,45,237,171,74,6,6,2,122,93,359,762,41,1,139,41,103,36,49,49,41,293,1501,3051,3154,6062,25,291,81,656,164,17,15,0,17,Manchester City,8,7,football,team
Aston Villa,30,15,22,15,19,13,6,11,9,9,22,15,1,16,178,0,0,2,6,13,9,116,62,2,5,15,27,18,19,64,58,56,105,241,78,4,13,0,13,52.533333333333,6468,5462,84.446505875077,3035,2783,91.69686985173,3605,2676,74.230235783634,450,216,48.0,249,50,20.080321285141,5,235,87,42,3,9,2,1,333,5,0,1470,717,48.775510204082,1099,532,48.407643312102,371,185,49.865229110512,1803,17,153,22,0,1,6.8408510638298,1241,2503,2382,4892,36,26,26,380,73,65,273,226,110,1,10,5,140,141,297,643,47,1,191,60,129,62,71,60,60,308,1706,3370,2610,5807,38,235,124,653,202,40,15,0,40,Aston Villa,8,7,football,team
Crystal Palace,26,15,20,12,10,9,7,16,11,5,20,12,0,11,173,3,3,0,2,18,1,124,49,5,3,11,45,30,29,64,61,48,60,145,57,6,11,0,11,42.266666666667,5492,4244,77.27603787327,2721,2420,88.937890481441,2917,1814,62.187178608159,537,232,43.202979515829,221,55,24.886877828054,7,292,144,36,2,8,1,1,512,2,4,1520,781,51.381578947368,954,502,52.620545073375,566,279,49.293286219081,1941,27,153,25,0,0,6.9361904761905,1261,2999,3314,6328,33,21,26,453,79,68,305,237,107,2,9,4,133,115,356,787,20,0,165,40,113,52,75,50,40,208,1912,4156,3581,7528,31,264,126,682,153,7,15,0,7,Crystal Palace,7,8,football,team
Chelsea,25,15,25,15,11,10,7,14,15,8,25,15,0,19,209,1,1,1,7,22,3,137,72,8,6,11,41,33,20,77,70,62,119,259,85,6,18,2,16,58.866666666667,7872,6793,86.293191056911,3821,3522,92.174823344674,4196,3217,76.668255481411,459,225,49.019607843137,262,54,20.610687022901,7,237,148,31,3,10,0,0,319,1,1,1472,768,52.173913043478,1054,536,50.853889943074,418,232,55.502392344498,1871,26,173,29,1,4,6.8894273127753,967,1913,2375,4294,26,22,16,392,58,53,218,203,80,3,13,1,135,107,285,745,26,1,150,36,99,51,67,47,36,273,1471,2895,2653,5399,34,259,108,696,184,38,15,0,38,Chelsea,7,8,football,team
Manchester United,25,15,26,22,13,12,8,12,14,14,26,22,0,18,241,2,4,0,3,20,4,163,78,5,6,13,44,27,29,82,92,67,92,208,70,9,16,1,15,54.066666666667,6981,5694,81.564245810056,3155,2795,88.589540412044,3973,2886,72.640322174679,516,280,54.263565891473,272,75,27.573529411765,1,266,115,31,3,8,1,1,349,2,3,1611,804,49.906890130354,1029,522,50.728862973761,582,282,48.453608247423,2111,25,154,21,1,1,6.8311403508772,1098,2258,2320,4625,34,26,18,443,68,65,290,237,114,2,10,4,142,117,324,806,29,2,163,43,118,45,65,55,43,247,1642,3384,2633,5871,37,306,110,725,169,35,15,0,35,Manchester United,7,8,football,team
Everton,24,15,18,17,14,11,9,10,7,8,18,17,0,14,159,1,1,0,7,15,2,105,54,2,5,9,27,22,18,46,62,51,91,231,66,6,8,2,6,43.933333333333,5692,4533,79.638088545327,2324,2065,88.855421686747,3274,2241,68.448381185095,444,202,45.495495495495,271,55,20.29520295203,6,242,117,42,4,14,2,1,460,4,3,1618,825,50.988875154512,1027,507,49.367088607595,591,318,53.807106598985,2027,20,162,33,0,1,6.8445497630332,1444,2713,3326,6234,36,27,24,477,76,67,265,218,99,1,9,5,109,138,278,708,23,0,194,72,134,60,59,63,72,271,1998,3680,3635,7391,28,305,108,688,175,48,15,0,48,Everton,8,7,football,team
Brighton & Hove Albion,23,15,25,21,15,16,11,8,9,10,25,21,2,15,202,2,3,1,8,20,4,126,76,5,5,14,34,22,16,72,78,52,127,254,80,3,11,0,11,51.533333333333,6815,5712,83.815113719736,3545,3267,92.157968970381,3414,2451,71.792618629174,477,236,49.475890985325,251,71,28.286852589641,3,294,117,41,2,7,3,2,347,0,4,1588,766,48.23677581864,1180,568,48.135593220339,408,198,48.529411764706,1921,29,178,37,0,0,6.8126086956522,1158,2391,2777,5174,30,22,18,359,69,57,247,301,154,7,8,4,132,134,337,781,17,1,174,39,118,56,75,60,39,286,1687,3394,3095,6326,31,249,123,748,151,30,15,0,30,Brighton & Hove Albion,8,7,football,team
Sunderland,23,15,18,17,15,14,7,8,4,10,18,17,1,12,144,2,2,0,2,15,2,105,39,5,2,10,23,16,14,45,57,42,80,174,54,5,13,2,11,42.0,5516,4367,79.16968817984,2651,2384,89.928328932478,2917,1894,64.929722317449,477,203,42.557651991614,241,48,19.917012448133,4,252,117,53,5,11,1,0,489,3,5,1433,751,52.407536636427,891,476,53.423120089787,542,275,50.738007380074,1849,24,147,28,0,2,6.8321100917431,1910,3527,2815,6465,29,19,21,400,71,83,345,225,87,1,7,8,82,161,289,710,17,1,229,67,150,79,91,71,67,196,2463,4544,3100,7590,24,249,132,636,153,41,15,0,41,Sunderland,7,8,football,team
Liverpool,23,15,24,24,13,11,9,10,13,15,24,24,0,15,232,1,1,1,6,20,3,152,80,0,3,20,42,34,30,66,91,75,107,236,78,6,20,2,18,61.4,7968,6824,85.642570281124,3386,3082,91.021854695806,4740,3687,77.784810126582,502,228,45.418326693227,324,72,22.222222222222,4,200,94,36,3,10,3,2,431,1,5,1415,721,50.95406360424,943,457,48.462354188759,472,264,55.932203389831,1965,29,160,29,0,0,6.8013157894737,954,1731,1980,3729,34,24,20,463,77,51,239,191,91,5,12,8,147,117,301,877,22,3,167,44,109,58,62,61,44,247,1565,2848,2244,4941,27,306,100,665,153,44,15,0,44,Liverpool,7,8,football,team
