Equipo,puntos,partidos_jugados,goles_favor,goles_contra,home_puntos,home_goles_favor,home_goles_contra,away_puntos,away_goles_favor,away_goles_contra,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,ID_Equipo,nombre,home_partidos_jugados,away_partidos_jugados,statisticsType.sportSlug,statisticsType.statisticsType
Milan,31,14,22,11,16,10,6,15,12,5,22,11,0,16,190,2,3,0,3,16,6,130,60,2,8,12,36,25,25,66,78,46,89,199,53,8,15,2,14,50.857142857143,6643,5817,87.565858798736,3148,2933,93.170266836086,3558,2841,79.848229342327,416,246,59.134615384615,202,54,26.732673267327,7,186,83,41,0,10,5,3,326,0,1,1140,599,52.543859649123,810,436,53.827160493827,330,163,49.393939393939,1430,26,135,22,0,1,6.969696969697,1332,2791,2614,5515,20,13,13,272,65,75,305,168,67,2,11,7,98,123,299,583,17,0,158,44,93,65,65,49,44,190,1692,3584,2838,6321,31,239,87,581,164,2692,14,0,2692,Milan,7,7,football,team
Napoli,31,14,22,12,19,14,6,12,8,6,22,12,0,14,183,3,3,1,7,20,2,119,64,5,8,9,31,20,18,72,61,50,95,198,80,10,9,2,7,56.142857142857,7258,6223,85.739873243318,3493,3210,91.898081878042,3834,2942,76.734480959833,366,192,52.459016393443,251,55,21.91235059761,5,196,101,24,1,5,4,2,235,0,2,1279,643,50.27365129007,909,456,50.16501650165,370,187,50.540540540541,1709,17,178,22,0,0,6.863679245283,925,2074,2515,4691,21,14,12,328,42,48,175,146,65,1,10,3,119,112,284,706,13,2,148,38,82,66,74,36,38,229,1307,2866,2826,5693,23,259,115,628,172,2714,14,0,2714,Napoli,7,7,football,team
Inter,30,14,32,13,18,21,5,12,11,8,32,13,0,26,244,2,3,0,6,24,6,168,76,5,7,18,58,52,37,76,105,63,64,129,102,8,7,0,7,59.214285714286,7390,6429,86.995940460081,3301,3078,93.244471372311,4191,3263,77.857313290384,529,312,58.979206049149,346,112,32.369942196532,7,191,86,32,0,3,2,2,258,0,1,1180,617,52.28813559322,808,411,50.866336633663,372,206,55.376344086022,1605,26,197,20,0,0,7.0041474654378,849,1784,2403,4241,19,16,13,396,44,43,185,159,74,6,8,3,121,108,334,704,21,1,132,35,78,54,52,45,35,149,1242,2484,2705,5166,23,255,78,622,159,2697,14,0,2697,Inter,8,6,football,team
Roma,27,14,15,8,12,7,4,15,8,4,15,8,0,10,184,1,2,0,8,13,2,124,60,3,5,7,24,18,17,67,72,45,74,197,74,3,14,1,14,58.0,6811,5678,83.365144618999,2982,2691,90.241448692153,3926,2886,73.509933774834,538,261,48.513011152416,275,59,21.454545454545,6,193,105,48,0,9,0,0,271,1,4,1444,686,47.506925207756,1001,466,46.553446553447,443,220,49.661399548533,1881,19,204,28,0,1,6.8341013824885,726,1458,2286,3786,30,26,24,376,49,43,181,181,91,3,7,9,119,109,307,768,27,2,147,26,85,62,66,55,26,250,1203,2378,2611,4930,32,282,95,678,208,2702,14,0,2702,Roma,7,7,football,team
Bologna,25,14,23,12,13,10,4,12,13,8,23,12,0,14,194,3,4,1,5,19,4,125,69,1,14,8,33,20,18,62,85,47,97,188,78,6,13,1,12,57.071428571429,6101,5057,82.888051139158,2931,2673,91.197543500512,3329,2352,70.651847401622,652,368,56.441717791411,265,66,24.905660377358,6,203,91,35,3,9,2,2,312,1,4,1400,710,50.714285714286,983,503,51.16988809766,417,207,49.640287769784,1753,32,212,26,1,1,6.8477678571429,623,1300,2178,3500,30,20,19,313,57,45,193,173,75,2,6,12,103,96,334,782,26,3,142,34,94,48,60,48,34,211,1086,2249,2466,4599,36,282,71,608,209,2685,14,0,2685,Bologna,6,8,football,team
Como,24,14,19,11,15,11,3,9,8,8,19,11,0,15,194,0,1,1,7,16,3,114,80,5,10,4,31,25,18,73,75,46,107,232,55,2,16,3,13,60.785714285714,7195,6228,86.560111188325,3713,3455,93.051440883383,3494,2664,76.244991413852,391,198,50.639386189258,206,56,27.184466019417,6,240,100,42,2,6,1,1,299,4,1,1421,712,50.105559465165,1067,518,48.5473289597,354,194,54.802259887006,1627,12,213,32,0,2,6.9014018691589,671,1367,2167,3617,32,24,25,249,53,51,184,202,104,5,6,2,146,104,272,624,29,0,153,41,101,52,57,55,41,247,1096,2130,2444,4572,29,278,83,624,177,2704,14,0,2704,Como,7,7,football,team
Juventus,23,14,18,14,15,12,6,8,6,8,18,14,0,12,223,2,2,0,6,14,4,139,84,3,9,6,28,18,17,74,81,68,105,200,65,4,16,2,14,57.857142857143,7205,6271,87.036780013879,3315,3068,92.549019607843,3998,3135,78.414207103552,496,291,58.66935483871,279,68,24.372759856631,4,206,100,28,6,9,2,1,272,1,0,1258,639,50.794912559618,898,460,51.224944320713,360,179,49.722222222222,1632,19,186,21,0,1,6.8455813953488,806,1786,2439,4276,18,12,11,362,64,56,228,143,64,3,6,3,117,105,291,646,7,1,150,40,92,58,68,42,40,202,1177,2596,2706,5212,33,250,88,646,154,2687,14,0,2687,Juventus,7,7,football,team
Sassuolo,20,14,19,17,10,10,9,10,9,8,19,17,1,13,157,2,3,1,8,17,2,100,57,1,8,9,30,21,16,56,62,39,73,168,51,3,15,2,13,45.571428571429,5413,4437,81.969333087013,2706,2453,90.650406504065,2692,1890,70.208023774146,428,202,47.196261682243,174,51,29.310344827586,4,196,107,50,2,3,3,3,335,2,1,1310,642,49.007633587786,908,451,49.669603524229,402,191,47.512437810945,1630,26,180,31,1,1,6.7837962962963,1212,2550,2874,5504,31,23,18,271,63,65,264,193,84,2,5,4,81,144,325,689,20,0,187,43,122,65,76,68,43,208,1693,3468,3124,6531,30,228,114,633,191,2793,14,0,2793,Sassuolo,7,7,football,team
Cremonese,20,14,18,17,9,9,9,11,9,8,18,17,0,15,119,2,2,0,3,17,1,75,44,6,5,7,28,25,12,47,45,27,70,159,48,5,10,1,9,45.714285714286,5190,4014,77.341040462428,2745,2424,88.306010928962,2514,1515,60.262529832936,521,224,42.99424184261,216,45,20.833333333333,4,224,95,55,6,9,2,2,436,1,0,1349,666,49.36990363232,897,456,50.836120401338,452,210,46.46017699115,1866,25,170,29,0,0,6.7638888888889,1317,2579,2446,5106,41,34,27,328,94,84,306,195,85,4,2,6,94,176,383,741,28,1,231,63,148,83,96,72,63,199,1861,3609,2676,6188,23,279,147,604,170,2761,14,0,2761,Cremonese,7,7,football,team
Lazio,19,14,16,11,14,13,5,5,3,6,16,11,0,11,156,1,1,0,4,14,2,97,59,2,6,8,26,21,15,62,67,27,77,184,52,7,11,3,8,50.5,6676,5689,85.215698022768,3486,3166,90.820424555364,3184,2407,75.596733668342,446,252,56.502242152466,181,43,23.756906077348,7,191,129,53,2,11,0,0,261,1,2,1273,667,52.395915161037,937,492,52.508004268943,336,175,52.083333333333,1559,9,154,24,0,3,6.8755656108597,1087,2189,3154,5412,27,23,19,263,56,66,242,164,79,5,9,5,118,142,348,702,19,0,186,41,127,59,81,64,41,218,1496,3023,3409,6351,39,241,106,609,230,2699,14,0,2699,Lazio,7,7,football,team
Udinese,18,14,15,22,8,7,12,10,8,10,15,22,0,10,176,2,2,0,5,14,1,106,70,3,7,5,31,23,18,55,69,52,97,220,69,6,13,2,11,47.928571428571,5148,4169,80.982905982906,2447,2212,90.396403759706,2867,1955,68.189745378444,547,287,52.468007312614,236,54,22.881355932203,3,232,111,36,3,6,5,4,407,2,4,1427,727,50.946040644709,980,481,49.081632653061,447,246,55.03355704698,1706,16,196,27,0,0,6.7666666666667,983,2020,2573,4599,28,17,12,321,67,47,245,195,87,3,11,5,81,112,390,805,28,1,175,48,110,65,70,57,48,234,1464,2994,2839,5649,20,268,107,604,160,2695,14,0,2695,Udinese,7,7,football,team
Atalanta,16,14,17,17,10,9,7,6,8,10,17,17,1,11,207,1,1,0,4,14,3,132,75,1,6,10,26,19,19,62,85,60,119,231,79,6,12,0,12,56.857142857143,7069,6077,85.96689772245,3440,3140,91.279069767442,3803,2921,76.807783328951,506,291,57.509881422925,275,69,25.090909090909,3,207,88,43,2,5,2,1,285,0,2,1274,642,50.392464678179,894,452,50.559284116331,380,190,50.0,1709,23,143,20,1,1,6.8303738317757,933,2055,2370,4411,23,14,14,337,53,50,208,190,85,2,8,2,125,108,326,742,20,0,153,41,86,67,53,59,41,226,1453,2992,2579,5413,20,251,90,695,132,2686,14,0,2686,Atalanta,7,7,football,team
Cagliari,14,14,14,19,8,8,10,6,6,9,14,19,0,11,136,1,1,0,8,14,0,86,50,4,2,8,27,23,14,50,56,30,76,165,48,5,12,1,11,44.571428571429,5138,4104,79.875437913585,2862,2563,89.552760307477,2334,1491,63.881748071979,428,197,46.028037383178,189,52,27.513227513228,3,222,119,49,3,11,0,0,349,1,2,1380,674,48.840579710145,1021,502,49.167482859941,359,172,47.910863509749,1655,24,229,36,0,0,6.7256756756757,1210,2693,2669,5446,37,32,27,281,73,69,250,221,104,2,4,8,97,142,329,676,20,2,178,45,120,58,65,68,45,197,1776,3664,2855,6448,27,254,129,569,212,2719,14,0,2719,Cagliari,7,7,football,team
Genoa,14,14,15,21,6,4,9,8,11,12,15,21,1,10,173,1,3,1,7,13,2,109,64,3,7,5,34,23,23,59,71,43,93,211,54,3,4,0,4,48.785714285714,5207,4093,78.605723065105,2626,2309,87.928408225438,2632,1708,64.893617021277,523,227,43.4034416826,240,67,27.916666666667,2,242,103,36,3,1,2,2,374,1,3,1565,776,49.584664536741,1029,526,51.1175898931,536,250,46.641791044776,1914,22,205,33,1,1,6.7310185185185,885,1798,2376,4266,34,21,18,318,63,66,227,190,71,2,3,4,103,114,308,766,25,2,160,45,114,46,58,57,45,246,1415,2829,2687,5494,29,295,92,597,197,2713,14,0,2713,Genoa,7,7,football,team
Parma,14,14,10,17,6,6,10,8,4,7,10,17,0,4,151,2,2,0,6,10,0,87,64,3,3,4,29,20,20,41,61,49,61,147,42,6,7,0,7,42.071428571429,4574,3495,76.410144293835,2222,1988,89.468946894689,2486,1490,59.935639581657,430,177,41.162790697674,209,47,22.488038277512,4,211,92,42,2,2,3,2,362,0,4,1378,696,50.507982583454,897,455,50.724637681159,481,241,50.10395010395,1782,17,151,27,2,3,6.7227053140097,1304,2816,2445,5274,31,22,21,407,69,81,296,230,104,1,5,3,95,143,293,683,39,2,189,49,116,73,81,59,49,207,1773,3767,2724,6320,26,241,116,597,190,2690,14,0,2690,Parma,7,7,football,team
Torino,14,14,14,26,8,8,14,6,6,12,14,26,0,7,158,2,4,0,3,11,2,99,59,2,2,9,26,12,18,57,59,42,82,159,57,4,12,3,9,42.785714285714,4953,3948,79.709267110842,2320,2064,88.965517241379,2637,1775,67.311338642397,467,228,48.822269807281,249,61,24.497991967871,5,209,109,36,7,8,3,3,359,1,1,1368,649,47.441520467836,898,427,47.550111358575,470,222,47.234042553191,1710,24,194,25,0,0,6.684375,1341,2943,2939,5952,34,26,15,338,60,72,246,193,89,0,7,4,87,162,402,748,16,0,208,56,134,74,89,63,56,206,1822,3808,3179,6951,21,235,128,583,142,2696,14,0,2696,Torino,7,7,football,team
Lecce,13,14,10,19,6,5,8,7,5,11,10,19,0,7,133,0,1,1,9,6,4,73,60,3,3,4,16,11,11,38,55,40,75,199,71,4,9,0,9,44.857142857143,4858,3719,76.554137505146,1989,1753,88.134741075918,2923,1912,65.412247690729,540,247,45.740740740741,241,63,26.141078838174,5,257,82,44,2,12,4,3,368,0,1,1499,763,50.900600400267,1015,508,50.049261083744,484,255,52.685950413223,1873,14,179,25,0,0,6.7146118721461,1012,2067,2875,4994,32,19,20,318,74,55,249,226,101,1,5,7,114,126,321,757,24,0,173,46,120,53,64,63,46,243,1555,3040,3165,6124,26,297,118,578,184,2689,14,0,2689,Lecce,7,7,football,team
Pisa,10,14,10,19,6,1,5,4,9,14,10,19,0,5,141,4,4,0,0,9,0,102,39,1,5,3,25,18,17,34,73,34,77,188,48,3,9,1,8,40.142857142857,4476,3457,77.234137622878,2252,1959,86.989342806394,2240,1426,63.660714285714,529,250,47.258979206049,256,77,30.078125,4,229,107,44,0,8,1,1,411,0,2,1419,729,51.374207188161,951,464,48.790746582545,468,265,56.623931623932,1719,18,184,25,0,2,6.7623853211009,1511,2966,2730,5821,33,25,26,314,71,63,279,206,111,2,6,7,76,168,356,706,19,0,219,61,138,81,95,63,61,209,2057,3911,2986,6875,21,228,126,666,163,2737,14,0,2737,Pisa,8,6,football,team
